language,keyword,cluster,intent,priority,recommended_url,recommended_h1,recommended_title,recommended_meta_description,similar_keywords,page_exists,notes
UA,аварійне відкриття замків Київ,main,комерційний,високий,/,Аварійне відкриття замків київ,Аварійне відкриття замків київ - OpenMe,"Аварійне відкриття замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,відкрити замок Київ,main,комерційний,високий,/,Відкрити замок київ,Відкрити замок київ - OpenMe,"Відкрити замок київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,відкриття замків Київ,main,комерційний,високий,/,Відкриття замків київ,Відкриття замків київ - OpenMe,"Відкриття замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,майстер по замках Київ,main,комерційний,високий,/,Майстер по замках київ,Майстер по замках київ - OpenMe,"Майстер по замках київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,замковий майстер Київ,main,комерційний,високий,/,Замковий майстер київ,Замковий майстер київ - OpenMe,"Замковий майстер київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,аварійна служба відкриття замків Київ,main,комерційний,високий,/,Аварійна служба відкриття замків київ,Аварійна служба відкриття замків київ - OpenMe,"Аварійна служба відкриття замків київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,відкриття замків 24/7 Київ,main,комерційний,високий,/,Відкриття замків 24/7 київ,Відкриття замків 24/7 київ - OpenMe,"Відкриття замків 24/7 київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,відкрити замок без пошкоджень Київ,main,комерційний,високий,/,Відкрити замок без пошкоджень київ,Відкрити замок без пошкоджень київ - OpenMe,"Відкрити замок без пошкоджень київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається головною сторінкою та загальними сервісами.
UA,відкрити двері Київ,doors,комерційний,високий,/avariine-vidkryttia-dverei/,Відкрити двері київ,Відкрити двері київ - OpenMe,"Відкрити двері київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
UA,аварійне відкриття дверей Київ,doors,комерційний,високий,/avariine-vidkryttia-dverei/,Аварійне відкриття дверей київ,Аварійне відкриття дверей київ - OpenMe,"Аварійне відкриття дверей київ у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається сторінкою аварійного відкриття дверей.
